[17-09-2026 | 18:00:53] Temp=34.1°C  Hum=27.1%  => 🥵🌵 A/C + Humidificador ON
[18-09-2026 | 16:36:18] Temp=14.8°C  Hum=27.5%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:36:19] Temp=17.7°C  Hum=76.7%  => Deshumidificador encendido
[18-09-2026 | 16:36:21] Temp=28.5°C  Hum=77.5%  => Deshumidificador encendido
[18-09-2026 | 16:36:23] Temp=21.2°C  Hum=63.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:36:24] Temp=37.6°C  Hum=81.3%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:36:27] Temp=20.8°C  Hum=88.0%  => Deshumidificador encendido
[18-09-2026 | 16:36:27] Temp=21.3°C  Hum=76.5%  => Deshumidificador encendido
[18-09-2026 | 16:36:30] Temp=28.1°C  Hum=87.0%  => Deshumidificador encendido
[18-09-2026 | 16:36:31] Temp=26.2°C  Hum=42.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:36:33] Temp=29.5°C  Hum=61.2%  => Ventilador encendido
[18-09-2026 | 16:36:35] Temp=26.4°C  Hum=66.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:36:36] Temp=12.7°C  Hum=45.5%  => Calefacción encendido
[18-09-2026 | 16:36:39] Temp=14.7°C  Hum=39.9%  => Calefacción encendido
[18-09-2026 | 16:36:39] Temp=14.3°C  Hum=80.1%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:36:42] Temp=26.5°C  Hum=65.4%  => Todo estable, sistema apagado
[18-09-2026 | 16:36:43] Temp=12.6°C  Hum=65.1%  => Calefacción encendido
[18-09-2026 | 16:36:45] Temp=32.4°C  Hum=50.0%  => Ventilador encendido
[18-09-2026 | 16:36:47] Temp=14.4°C  Hum=94.8%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:36:48] Temp=29.0°C  Hum=85.1%  => Deshumidificador encendido
[18-09-2026 | 16:36:51] Temp=19.7°C  Hum=79.0%  => Deshumidificador encendido
[18-09-2026 | 16:36:51] Temp=15.7°C  Hum=29.8%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:36:54] Temp=35.5°C  Hum=27.1%  => A/C + Humidificador encendido
[18-09-2026 | 16:36:55] Temp=13.2°C  Hum=79.9%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:36:57] Temp=36.1°C  Hum=83.9%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:36:59] Temp=37.4°C  Hum=37.7%  => Ventilador encendido
[18-09-2026 | 16:37:00] Temp=17.4°C  Hum=36.4%  => Todo estable, sistema apagado
[18-09-2026 | 16:37:03] Temp=27.8°C  Hum=91.9%  => Deshumidificador encendido
[18-09-2026 | 16:37:03] Temp=30.2°C  Hum=41.5%  => Ventilador encendido
[18-09-2026 | 16:37:06] Temp=14.1°C  Hum=77.1%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:37:07] Temp=33.8°C  Hum=74.5%  => Ventilador encendido
[18-09-2026 | 16:37:09] Temp=17.1°C  Hum=31.0%  => Humidificador encendido
[18-09-2026 | 16:37:11] Temp=16.9°C  Hum=80.4%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:37:12] Temp=33.1°C  Hum=78.3%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:37:14] Temp=25.9°C  Hum=62.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:37:15] Temp=16.6°C  Hum=88.9%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:37:17] Temp=34.9°C  Hum=55.9%  => Ventilador encendido
[18-09-2026 | 16:37:18] Temp=30.8°C  Hum=68.2%  => Ventilador encendido
[18-09-2026 | 16:37:20] Temp=31.2°C  Hum=51.7%  => Ventilador encendido
[18-09-2026 | 16:37:21] Temp=17.8°C  Hum=81.1%  => Deshumidificador encendido
[18-09-2026 | 16:37:23] Temp=35.5°C  Hum=90.5%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:37:24] Temp=22.8°C  Hum=80.6%  => Deshumidificador encendido
[18-09-2026 | 16:37:26] Temp=23.1°C  Hum=80.0%  => Deshumidificador encendido
[18-09-2026 | 16:37:27] Temp=12.5°C  Hum=64.1%  => Calefacción encendido
[18-09-2026 | 16:37:29] Temp=36.3°C  Hum=33.3%  => A/C + Humidificador encendido
[18-09-2026 | 16:37:30] Temp=33.9°C  Hum=53.1%  => Ventilador encendido
[18-09-2026 | 16:37:32] Temp=28.5°C  Hum=90.3%  => Deshumidificador encendido
[18-09-2026 | 16:37:33] Temp=33.2°C  Hum=46.6%  => Ventilador encendido
[18-09-2026 | 16:37:35] Temp=32.3°C  Hum=43.3%  => Ventilador encendido
[18-09-2026 | 16:37:36] Temp=12.5°C  Hum=78.3%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:37:38] Temp=13.2°C  Hum=33.0%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:37:39] Temp=18.7°C  Hum=94.3%  => Deshumidificador encendido
[18-09-2026 | 16:37:41] Temp=22.9°C  Hum=78.7%  => Deshumidificador encendido
[18-09-2026 | 16:37:42] Temp=22.0°C  Hum=87.3%  => Deshumidificador encendido
[18-09-2026 | 16:37:44] Temp=25.3°C  Hum=39.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:37:45] Temp=19.9°C  Hum=55.2%  => Todo estable, sistema apagado
[18-09-2026 | 16:37:47] Temp=28.2°C  Hum=78.1%  => Deshumidificador encendido
[18-09-2026 | 16:37:48] Temp=20.1°C  Hum=95.0%  => Deshumidificador encendido
[18-09-2026 | 16:37:50] Temp=17.0°C  Hum=31.3%  => Humidificador encendido
[18-09-2026 | 16:37:51] Temp=14.6°C  Hum=42.8%  => Calefacción encendido
[18-09-2026 | 16:37:53] Temp=17.6°C  Hum=56.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:37:54] Temp=31.9°C  Hum=45.1%  => Ventilador encendido
[18-09-2026 | 16:37:56] Temp=19.7°C  Hum=82.8%  => Deshumidificador encendido
[18-09-2026 | 16:37:57] Temp=28.5°C  Hum=62.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:37:59] Temp=30.7°C  Hum=30.1%  => A/C + Humidificador encendido
[18-09-2026 | 16:38:00] Temp=20.8°C  Hum=46.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:02] Temp=37.8°C  Hum=37.1%  => Ventilador encendido
[18-09-2026 | 16:38:03] Temp=13.7°C  Hum=26.2%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:38:05] Temp=37.3°C  Hum=45.1%  => Ventilador encendido
[18-09-2026 | 16:38:06] Temp=35.4°C  Hum=40.1%  => Ventilador encendido
[18-09-2026 | 16:38:08] Temp=20.1°C  Hum=57.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:09] Temp=23.5°C  Hum=30.3%  => Humidificador encendido
[18-09-2026 | 16:38:11] Temp=32.7°C  Hum=75.1%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:38:12] Temp=37.3°C  Hum=54.7%  => Ventilador encendido
[18-09-2026 | 16:38:14] Temp=28.0°C  Hum=67.4%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:15] Temp=28.4°C  Hum=33.5%  => Humidificador encendido
[18-09-2026 | 16:38:17] Temp=36.3°C  Hum=51.7%  => Ventilador encendido
[18-09-2026 | 16:38:18] Temp=17.5°C  Hum=90.5%  => Deshumidificador encendido
[18-09-2026 | 16:38:20] Temp=16.2°C  Hum=45.2%  => Calefacción encendido
[18-09-2026 | 16:38:21] Temp=17.4°C  Hum=36.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:23] Temp=27.2°C  Hum=88.3%  => Deshumidificador encendido
[18-09-2026 | 16:38:24] Temp=32.7°C  Hum=34.3%  => A/C + Humidificador encendido
[18-09-2026 | 16:38:26] Temp=37.8°C  Hum=68.8%  => Ventilador encendido
[18-09-2026 | 16:38:27] Temp=36.9°C  Hum=54.3%  => Ventilador encendido
[18-09-2026 | 16:38:29] Temp=26.9°C  Hum=35.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:30] Temp=36.7°C  Hum=81.9%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:38:32] Temp=31.4°C  Hum=63.3%  => Ventilador encendido
[18-09-2026 | 16:38:33] Temp=13.3°C  Hum=29.3%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:38:35] Temp=14.2°C  Hum=42.8%  => Calefacción encendido
[18-09-2026 | 16:38:36] Temp=25.1°C  Hum=37.4%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:38] Temp=32.6°C  Hum=67.1%  => Ventilador encendido
[18-09-2026 | 16:38:39] Temp=34.8°C  Hum=51.2%  => Ventilador encendido
[18-09-2026 | 16:38:41] Temp=23.6°C  Hum=51.1%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:42] Temp=23.4°C  Hum=75.1%  => Deshumidificador encendido
[18-09-2026 | 16:38:44] Temp=12.5°C  Hum=52.7%  => Calefacción encendido
[18-09-2026 | 16:38:45] Temp=24.2°C  Hum=32.2%  => Humidificador encendido
[18-09-2026 | 16:38:47] Temp=24.5°C  Hum=71.3%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:48] Temp=30.2°C  Hum=48.2%  => Ventilador encendido
[18-09-2026 | 16:38:50] Temp=34.1°C  Hum=80.2%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:38:51] Temp=26.1°C  Hum=42.2%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:53] Temp=31.3°C  Hum=62.7%  => Ventilador encendido
[18-09-2026 | 16:38:54] Temp=24.2°C  Hum=63.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:38:56] Temp=29.6°C  Hum=49.4%  => Ventilador encendido
[18-09-2026 | 16:38:57] Temp=37.6°C  Hum=54.8%  => Ventilador encendido
[18-09-2026 | 16:38:59] Temp=29.5°C  Hum=77.3%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:00] Temp=26.6°C  Hum=37.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:39:02] Temp=27.6°C  Hum=95.0%  => Deshumidificador encendido
[18-09-2026 | 16:39:03] Temp=29.0°C  Hum=32.2%  => Humidificador encendido
[18-09-2026 | 16:39:05] Temp=14.7°C  Hum=83.9%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:39:06] Temp=17.1°C  Hum=35.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:39:08] Temp=14.4°C  Hum=76.9%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:39:09] Temp=22.3°C  Hum=41.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:39:11] Temp=33.0°C  Hum=62.1%  => Ventilador encendido
[18-09-2026 | 16:39:12] Temp=33.6°C  Hum=79.6%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:14] Temp=21.1°C  Hum=76.6%  => Deshumidificador encendido
[18-09-2026 | 16:39:15] Temp=33.7°C  Hum=69.5%  => Ventilador encendido
[18-09-2026 | 16:39:17] Temp=33.5°C  Hum=72.4%  => Ventilador encendido
[18-09-2026 | 16:39:18] Temp=19.6°C  Hum=88.0%  => Deshumidificador encendido
[18-09-2026 | 16:39:20] Temp=23.5°C  Hum=84.6%  => Deshumidificador encendido
[18-09-2026 | 16:39:21] Temp=37.1°C  Hum=91.5%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:23] Temp=14.0°C  Hum=50.0%  => Calefacción encendido
[18-09-2026 | 16:39:24] Temp=31.6°C  Hum=89.1%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:26] Temp=13.5°C  Hum=88.1%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:39:27] Temp=37.9°C  Hum=82.5%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:29] Temp=15.1°C  Hum=52.5%  => Calefacción encendido
[18-09-2026 | 16:39:30] Temp=19.9°C  Hum=41.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:39:32] Temp=28.4°C  Hum=76.1%  => Deshumidificador encendido
[18-09-2026 | 16:39:33] Temp=14.9°C  Hum=78.2%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:39:35] Temp=14.3°C  Hum=37.7%  => Calefacción encendido
[18-09-2026 | 16:39:36] Temp=13.3°C  Hum=52.9%  => Calefacción encendido
[18-09-2026 | 16:39:38] Temp=26.3°C  Hum=27.0%  => Humidificador encendido
[18-09-2026 | 16:39:39] Temp=15.2°C  Hum=39.2%  => Calefacción encendido
[18-09-2026 | 16:39:41] Temp=20.3°C  Hum=81.3%  => Deshumidificador encendido
[18-09-2026 | 16:39:42] Temp=12.3°C  Hum=39.4%  => Calefacción encendido
[18-09-2026 | 16:39:44] Temp=26.8°C  Hum=86.3%  => Deshumidificador encendido
[18-09-2026 | 16:39:45] Temp=34.1°C  Hum=30.1%  => A/C + Humidificador encendido
[18-09-2026 | 16:39:47] Temp=31.2°C  Hum=84.1%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:48] Temp=36.9°C  Hum=50.9%  => Ventilador encendido
[18-09-2026 | 16:39:50] Temp=36.2°C  Hum=70.7%  => Ventilador encendido
[18-09-2026 | 16:39:51] Temp=28.5°C  Hum=94.0%  => Deshumidificador encendido
[18-09-2026 | 16:39:53] Temp=15.3°C  Hum=37.8%  => Calefacción encendido
[18-09-2026 | 16:39:54] Temp=32.6°C  Hum=71.2%  => Ventilador encendido
[18-09-2026 | 16:39:56] Temp=29.9°C  Hum=86.6%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:39:57] Temp=21.9°C  Hum=70.2%  => Todo estable, sistema apagado
[18-09-2026 | 16:39:59] Temp=29.2°C  Hum=64.2%  => Ventilador encendido
[18-09-2026 | 16:40:00] Temp=22.0°C  Hum=86.4%  => Deshumidificador encendido
[18-09-2026 | 16:40:02] Temp=14.2°C  Hum=66.3%  => Calefacción encendido
[18-09-2026 | 16:40:03] Temp=25.2°C  Hum=64.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:05] Temp=20.2°C  Hum=48.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:06] Temp=21.2°C  Hum=32.1%  => Humidificador encendido
[18-09-2026 | 16:40:08] Temp=21.9°C  Hum=61.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:09] Temp=35.3°C  Hum=37.2%  => Ventilador encendido
[18-09-2026 | 16:40:11] Temp=35.3°C  Hum=84.6%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:40:12] Temp=16.1°C  Hum=37.5%  => Calefacción encendido
[18-09-2026 | 16:40:14] Temp=33.4°C  Hum=74.5%  => Ventilador encendido
[18-09-2026 | 16:40:15] Temp=12.4°C  Hum=31.5%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:40:17] Temp=13.5°C  Hum=39.5%  => Calefacción encendido
[18-09-2026 | 16:40:18] Temp=13.6°C  Hum=85.1%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:40:20] Temp=32.8°C  Hum=27.3%  => A/C + Humidificador encendido
[18-09-2026 | 16:40:21] Temp=23.2°C  Hum=88.8%  => Deshumidificador encendido
[18-09-2026 | 16:40:23] Temp=19.4°C  Hum=92.8%  => Deshumidificador encendido
[18-09-2026 | 16:40:24] Temp=17.8°C  Hum=56.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:26] Temp=26.0°C  Hum=73.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:27] Temp=23.0°C  Hum=59.6%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:29] Temp=19.8°C  Hum=26.3%  => Humidificador encendido
[18-09-2026 | 16:40:30] Temp=26.1°C  Hum=88.7%  => Deshumidificador encendido
[18-09-2026 | 16:40:32] Temp=33.3°C  Hum=76.7%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:40:33] Temp=19.6°C  Hum=44.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:35] Temp=36.0°C  Hum=40.3%  => Ventilador encendido
[18-09-2026 | 16:40:36] Temp=13.3°C  Hum=46.5%  => Calefacción encendido
[18-09-2026 | 16:40:38] Temp=20.0°C  Hum=46.3%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:39] Temp=25.0°C  Hum=54.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:41] Temp=15.8°C  Hum=65.2%  => Calefacción encendido
[18-09-2026 | 16:40:42] Temp=18.9°C  Hum=55.4%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:44] Temp=37.1°C  Hum=55.9%  => Ventilador encendido
[18-09-2026 | 16:40:45] Temp=20.4°C  Hum=60.6%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:47] Temp=32.6°C  Hum=78.8%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:40:48] Temp=29.9°C  Hum=72.3%  => Ventilador encendido
[18-09-2026 | 16:40:50] Temp=26.5°C  Hum=28.4%  => Humidificador encendido
[18-09-2026 | 16:40:51] Temp=33.9°C  Hum=50.9%  => Ventilador encendido
[18-09-2026 | 16:40:53] Temp=21.9°C  Hum=56.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:54] Temp=18.8°C  Hum=72.1%  => Todo estable, sistema apagado
[18-09-2026 | 16:40:56] Temp=25.4°C  Hum=89.4%  => Deshumidificador encendido
[18-09-2026 | 16:40:57] Temp=31.5°C  Hum=44.7%  => Ventilador encendido
[18-09-2026 | 16:40:59] Temp=15.8°C  Hum=61.5%  => Calefacción encendido
[18-09-2026 | 16:41:00] Temp=34.5°C  Hum=29.3%  => A/C + Humidificador encendido
[18-09-2026 | 16:41:02] Temp=14.4°C  Hum=40.1%  => Calefacción encendido
[18-09-2026 | 16:41:03] Temp=17.5°C  Hum=57.1%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:05] Temp=28.8°C  Hum=41.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:06] Temp=26.5°C  Hum=72.1%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:08] Temp=31.8°C  Hum=91.3%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:09] Temp=18.0°C  Hum=80.4%  => Deshumidificador encendido
[18-09-2026 | 16:41:11] Temp=25.4°C  Hum=48.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:12] Temp=20.1°C  Hum=55.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:14] Temp=29.9°C  Hum=51.0%  => Ventilador encendido
[18-09-2026 | 16:41:15] Temp=37.6°C  Hum=81.3%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:17] Temp=20.6°C  Hum=81.0%  => Deshumidificador encendido
[18-09-2026 | 16:41:18] Temp=31.9°C  Hum=93.0%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:20] Temp=36.8°C  Hum=59.7%  => Ventilador encendido
[18-09-2026 | 16:41:21] Temp=22.7°C  Hum=94.7%  => Deshumidificador encendido
[18-09-2026 | 16:41:23] Temp=26.0°C  Hum=45.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:24] Temp=18.7°C  Hum=49.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:26] Temp=28.3°C  Hum=28.5%  => Humidificador encendido
[18-09-2026 | 16:41:27] Temp=12.3°C  Hum=90.5%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:41:29] Temp=34.1°C  Hum=92.9%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:30] Temp=32.5°C  Hum=47.5%  => Ventilador encendido
[18-09-2026 | 16:41:32] Temp=24.1°C  Hum=59.6%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:35] Temp=21.6°C  Hum=71.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:38] Temp=33.9°C  Hum=68.1%  => Ventilador encendido
[18-09-2026 | 16:41:41] Temp=35.4°C  Hum=75.4%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:44] Temp=21.8°C  Hum=90.3%  => Deshumidificador encendido
[18-09-2026 | 16:41:47] Temp=32.4°C  Hum=77.9%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:50] Temp=23.2°C  Hum=58.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:41:53] Temp=30.7°C  Hum=86.8%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:41:57] Temp=13.8°C  Hum=77.7%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:42:00] Temp=21.1°C  Hum=89.4%  => Deshumidificador encendido
[18-09-2026 | 16:42:03] Temp=22.8°C  Hum=76.4%  => Deshumidificador encendido
[18-09-2026 | 16:42:06] Temp=33.6°C  Hum=26.5%  => A/C + Humidificador encendido
[18-09-2026 | 16:42:09] Temp=19.2°C  Hum=35.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:42:12] Temp=35.7°C  Hum=86.6%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:42:15] Temp=35.6°C  Hum=68.3%  => Ventilador encendido
[18-09-2026 | 16:42:18] Temp=13.6°C  Hum=82.4%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:42:21] Temp=22.7°C  Hum=76.1%  => Deshumidificador encendido
[18-09-2026 | 16:42:24] Temp=37.4°C  Hum=61.1%  => Ventilador encendido
[18-09-2026 | 16:42:27] Temp=13.3°C  Hum=76.4%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:42:30] Temp=35.4°C  Hum=38.0%  => Ventilador encendido
[18-09-2026 | 16:42:33] Temp=17.8°C  Hum=56.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:42:36] Temp=14.3°C  Hum=72.1%  => Calefacción encendido
[18-09-2026 | 16:42:39] Temp=31.5°C  Hum=46.9%  => Ventilador encendido
[18-09-2026 | 16:42:42] Temp=34.7°C  Hum=63.6%  => Ventilador encendido
[18-09-2026 | 16:42:45] Temp=37.3°C  Hum=91.7%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:42:48] Temp=15.0°C  Hum=45.0%  => Calefacción encendido
[18-09-2026 | 16:42:51] Temp=37.0°C  Hum=26.8%  => A/C + Humidificador encendido
[18-09-2026 | 16:42:54] Temp=22.3°C  Hum=58.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:42:57] Temp=31.5°C  Hum=30.6%  => A/C + Humidificador encendido
[18-09-2026 | 16:43:00] Temp=14.2°C  Hum=92.8%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:43:03] Temp=23.9°C  Hum=53.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:43:06] Temp=12.3°C  Hum=26.6%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:43:09] Temp=18.1°C  Hum=57.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:43:12] Temp=14.4°C  Hum=85.2%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:43:15] Temp=16.8°C  Hum=53.9%  => Calefacción encendido
[18-09-2026 | 16:43:18] Temp=32.2°C  Hum=52.6%  => Ventilador encendido
[18-09-2026 | 16:43:21] Temp=16.6°C  Hum=92.4%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:43:24] Temp=15.9°C  Hum=49.0%  => Calefacción encendido
[18-09-2026 | 16:43:27] Temp=26.4°C  Hum=53.8%  => Todo estable, sistema apagado
[18-09-2026 | 16:43:30] Temp=23.1°C  Hum=92.1%  => Deshumidificador encendido
[18-09-2026 | 16:43:33] Temp=25.3°C  Hum=85.1%  => Deshumidificador encendido
[18-09-2026 | 16:43:36] Temp=13.4°C  Hum=86.8%  => Calefacción + Deshumidificador encendido
[18-09-2026 | 16:43:39] Temp=33.1°C  Hum=51.3%  => Ventilador encendido
[18-09-2026 | 16:43:42] Temp=13.4°C  Hum=64.5%  => Calefacción encendido
[18-09-2026 | 16:43:45] Temp=33.7°C  Hum=29.4%  => A/C + Humidificador encendido
[18-09-2026 | 16:43:48] Temp=26.7°C  Hum=88.7%  => Deshumidificador encendido
[18-09-2026 | 16:43:51] Temp=38.0°C  Hum=62.7%  => Ventilador encendido
[18-09-2026 | 16:43:54] Temp=21.3°C  Hum=75.9%  => Deshumidificador encendido
[18-09-2026 | 16:43:57] Temp=19.2°C  Hum=91.5%  => Deshumidificador encendido
[18-09-2026 | 16:44:00] Temp=14.3°C  Hum=53.0%  => Calefacción encendido
[18-09-2026 | 16:44:03] Temp=24.3°C  Hum=41.4%  => Todo estable, sistema apagado
[18-09-2026 | 16:44:06] Temp=25.4°C  Hum=90.7%  => Deshumidificador encendido
[18-09-2026 | 16:44:09] Temp=21.5°C  Hum=61.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:44:12] Temp=19.2°C  Hum=87.0%  => Deshumidificador encendido
[18-09-2026 | 16:44:15] Temp=29.3°C  Hum=50.5%  => Ventilador encendido
[18-09-2026 | 16:44:18] Temp=35.9°C  Hum=52.3%  => Ventilador encendido
[18-09-2026 | 16:44:21] Temp=25.2°C  Hum=40.9%  => Todo estable, sistema apagado
[18-09-2026 | 16:44:24] Temp=29.7°C  Hum=40.4%  => Ventilador encendido
[18-09-2026 | 16:44:27] Temp=33.5°C  Hum=35.6%  => Ventilador encendido
[18-09-2026 | 16:44:30] Temp=31.2°C  Hum=85.4%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:44:33] Temp=16.4°C  Hum=53.6%  => Calefacción encendido
[18-09-2026 | 16:44:36] Temp=14.0°C  Hum=62.3%  => Calefacción encendido
[18-09-2026 | 16:44:39] Temp=12.0°C  Hum=54.6%  => Calefacción encendido
[18-09-2026 | 16:44:42] Temp=18.1°C  Hum=70.3%  => Todo estable, sistema apagado
[18-09-2026 | 16:44:45] Temp=17.7°C  Hum=81.9%  => Deshumidificador encendido
[18-09-2026 | 16:44:48] Temp=17.3°C  Hum=89.2%  => Deshumidificador encendido
[18-09-2026 | 16:44:51] Temp=34.9°C  Hum=46.0%  => Ventilador encendido
[18-09-2026 | 16:44:54] Temp=32.2°C  Hum=29.6%  => A/C + Humidificador encendido
[18-09-2026 | 16:44:57] Temp=14.2°C  Hum=34.9%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:45:00] Temp=36.3°C  Hum=72.2%  => Ventilador encendido
[18-09-2026 | 16:45:03] Temp=21.6°C  Hum=45.0%  => Todo estable, sistema apagado
[18-09-2026 | 16:45:06] Temp=37.8°C  Hum=93.5%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:45:09] Temp=30.7°C  Hum=41.5%  => Ventilador encendido
[18-09-2026 | 16:45:12] Temp=22.5°C  Hum=47.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:45:15] Temp=28.7°C  Hum=65.7%  => Todo estable, sistema apagado
[18-09-2026 | 16:45:18] Temp=35.9°C  Hum=42.0%  => Ventilador encendido
[18-09-2026 | 16:45:21] Temp=20.7°C  Hum=75.1%  => Deshumidificador encendido
[18-09-2026 | 16:45:24] Temp=21.0°C  Hum=31.2%  => Humidificador encendido
[18-09-2026 | 16:45:27] Temp=16.8°C  Hum=55.8%  => Calefacción encendido
[18-09-2026 | 16:45:30] Temp=14.2°C  Hum=32.4%  => Calefacción + Humidificador encendido
[18-09-2026 | 16:45:33] Temp=22.0°C  Hum=77.7%  => Deshumidificador encendido
[18-09-2026 | 16:45:36] Temp=17.9°C  Hum=82.5%  => Deshumidificador encendido
[18-09-2026 | 16:45:39] Temp=24.2°C  Hum=89.0%  => Deshumidificador encendido
[18-09-2026 | 16:45:42] Temp=23.2°C  Hum=56.5%  => Todo estable, sistema apagado
[18-09-2026 | 16:45:45] Temp=19.0°C  Hum=82.6%  => Deshumidificador encendido
[18-09-2026 | 16:45:48] Temp=36.2°C  Hum=82.5%  => A/C + Deshumidificador encendido
[18-09-2026 | 16:45:51] Temp=27.4°C  Hum=94.5%  => Deshumidificador encendido
